hvdc_code,shipment_invoice_no,vendor,coe,pol,pod,vessel,hs_code,currency,price
HVDC-ADOPT-HE-0326,,HITACHI,Denmark,Billund,Abu Dhabi Airport,EY918,85431098,SEK,566635.0
HVDC-ADOPT-HE-0327,,HITACHI,India,Visakhapatnam,Khalifa port,MSC SABRINA,85044090,SEK,37812.65
HVDC-ADOPT-HE-0328,,HITACHI,MALAYSIA,Port Klang,Khalifa port,CSCL GLOBE,85044090,USD,26223.05
HVDC-ADOPT-HE-0329,,HITACHI,BELGIUM,Antwerp,Khalifa port,MSC MIRJA,85321000,SEK,318979.5
HVDC-ADOPT-HE-0330,,HITACHI,CHINA,Shanghai,Khalifa port,CSCL GLOBE,76149000,SEK,184421.1
HVDC-ADOPT-HE-0331,,HITACHI,SWEDEN,Gothenburg,Khalifa port,Maersk Hamburg,85469090,SEK,78705.0
HVDC-ADOPT-HE-0332,,HITACHI,SWEDEN,Gothenburg,Khalifa port,MSC LORETO,84198910,SEK,530298.2
HVDC-ADOPT-HE-0333,,HITACHI,SWEDEN,Gothenburg,Khalifa port,MSC LORETO,84198910,SEK,519218.1
HVDC-ADOPT-HE-0334,,HITACHI,BELGIUM,Antwerp,Khalifa port,MUNDRA EXPRESS,27102090,SEK,411534.6
HVDC-ADOPT-HE-0335,,HITACHI,BELGIUM,Antwerp,Khalifa port,VANCOUVER EXPRESS,27102090,SEK,410358.8
HVDC-ADOPT-HE-0336,,HITACHI,BELGIUM,Antwerp,Khalifa port,MSC MIRJA,85321000,SEK,407585.0
HVDC-ADOPT-HE-0337,,HITACHI,BELGIUM,Antwerp,Khalifa port,MSC MIRJA,76149000,SEK,95025.42
HVDC-ADOPT-HE-0338,,HITACHI,BELGIUM,Antwerp,Khalifa port,MSC MIRJA,76149000,SEK,149258.6
HVDC-ADOPT-HE-0339,,HITACHI,BELGIUM,Antwerp,Khalifa port,MSC MIRJA,76149000,SEK,124964.8
HVDC-ADOPT-HE-0340,,HITACHI,India,Visakhapatnam,Khalifa port,MSC SABRINA,85044090,SEK,4121.0
HVDC-ADOPT-HE-0341,,HITACHI,Italy,Genoa,Khalifa port,APL MIAMI,85044090,USD,43797.6
HVDC-ADOPT-HE-0342,,HITACHI,Bulgaria,Varna,Khalifa port,MSC EMANUELA,85481098,SEK,546215.0
HVDC-ADOPT-HE-0343,,HITACHI,Bulgaria,Varna,Khalifa port,MSC EMANUELA,85481098,SEK,546215.0
HVDC-ADOPT-HE-0344,,HITACHI,CHINA,Shanghai,Khalifa port,MSC CLORINDA,85321000,SEK,61232.39
HVDC-ADOPT-HE-0345,,HITACHI,CHINA,Shanghai,Khalifa port,MSC CLORINDA,85321000,SEK,6986.25
HVDC-ADOPT-HE-0346,,HITACHI,CHINA,Shanghai,Khalifa port,MSC CLORINDA,85321000,SEK,50985.59
HVDC-ADOPT-HE-0347,,HITACHI,CHINA,Shanghai,Khalifa port,MSC CLORINDA,85321000,SEK,6986.25
HVDC-ADOPT-HE-0348,,HITACHI,CHINA,Shanghai,Khalifa port,MSC CLORINDA,85321000,SEK,117393.9
HVDC-ADOPT-HE-0349,,HITACHI,CHINA,Shanghai,Khalifa port,MSC CLORINDA,85321000,SEK,2933.55
HVDC-ADOPT-HE-0350,,HITACHI,United Kingdom,LONDON GATEWAY,Khalifa port,MSC MIRJA,90011090,SEK,198141.2
HVDC-ADOPT-HE-0351,,HITACHI,United Kingdom,LONDON GATEWAY,Khalifa port,MSC MIRJA,90011090,SEK,173270.1
HVDC-ADOPT-HE-0352,,HITACHI,Bulgaria,Varna,Khalifa port,MSC ORSOLA,85321000,SEK,624044.9
HVDC-ADOPT-HE-0353,,HITACHI,Bulgaria,Varna,Khalifa port,MSC ORSOLA,85321000,SEK,123322.5
HVDC-ADOPT-HE-0354,,HITACHI,MALAYSIA,Port Klang,Khalifa port,Cosco Shipping Aquarius,85044090,USD,26223.05
